I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
5551		2000	1	3	22	34	 12.6	33	 4.6			 4.6					INDIA		INDIA-BANGLADESH BORDER:  MAHESHKHALI	  22.132	   92.771	60								1												1			100	2
5552		2000	1	11	23	43	 56.4	10	 5.1	 5.1	 4.7	 4.9					CHINA		CHINA:  LIAONING PROVINCE	  40.498	  122.994	30					        30	1		3	3600	4							30	1		3	3600	4		
5553		2000	1	14	23	37	  7.8	33	 5.9	 5.9	 5.9	 5.4	5.5				CHINA		CHINA:  YUNNAN PROVINCE:  YAOAN COUNTY	  25.607	  101.063	30	       5	1			      2528	4	      73.500	4	41000	4	41000	4	       7	1			2528	4	      73.500	4	41000	4		
5554		2000	2	2	22	58	  1.5	33	 5.3	 5.3	 5.3	 5.1					IRAN		IRAN:  BARDASKAN, KASHMAR	  35.288	   58.218	140	       1	1			        15	1		2	100	2	100	2	       1	1			15	1		2	100	2	300	3
5555		2000	2	7	19	34	 57.0	5	 4.5			 4.5					SOUTH AFRICA		SOUTH AFRICA; SWAZILAND:  MBABANE-MANZINI	 -26.288	   30.888	10					         1	1		1									1	1		1				
5556		2000	3	28	11	0	 22.5	127	 7.6	 7.6	 7.6	 6.8					JAPAN		JAPAN:  VOLCANO ISLANDS	  22.338	  143.730	30																								
7301	Tsu	2000	4	5	4	36	 58.8	38	 5.5	 5.5	 5.4	 5.3					GREECE		GREECE:  CRETE	  34.220	   25.690	130																								
5557	Tsu	2000	5	4	4	21	 16.2	26	 7.6	 7.6	 7.5	 6.7					INDONESIA		INDONESIA:  SULAWESI:  LUWUK, BANGGAI, PELENG,	  -1.105	  123.573	170	      46	1			       264	3	      30.000	4	10000	4			      46	1			264	3	      30.000	4	10000	4		
5558		2000	5	7	23	10	 54.1	5	 4.1		 4.1	 4.5					TURKEY		TURKEY:  DOGANYOL, PUTURGE	  38.164	   38.777	140								2									1	1		2			200	3
5559		2000	5	17	3	25	 48.7	10	 5.4	 5.4	 5.3	 5.4					TAIWAN		TAIWAN:  TAI-CHUNG COUNTY	  24.223	  121.058	30	       3	1			        13	1		1					       3	1			13	1		1				
5560		2000	6	4	16	28	 26.1	33	 7.9	 7.9	 8.0	 6.8				6	INDONESIA		INDONESIA:  SUMATRA:  BENGKULU, ENGGANO	  -4.721	  102.087	170	     103	3			      2174	4	       6.000	3					     103	3			2174	4	       6.000	3				
5561		2000	6	6	2	41	 49.8	10	 6.0	 6.0	 6.1	 5.5				7	TURKEY		TURKEY:  CERKES, CUBUK, ORTA	  40.693	   32.992	140	       2	1			        80	2		3					       2	1			80	2		3			4600	4
5562		2000	6	7	21	46	 55.9	33	 6.3	 6.3	 6.5	 6.3					CHINA		CHINA:  YUNNAN PROVINCE:  LIUKU; MYANMAR	  26.856	   97.238	30								1		2		2								1		2		
5563		2000	6	7	23	45	 26.6	33	 6.7	 6.7	 6.7	 6.1					INDONESIA		INDONESIA:  SOUTHERN SUMATERA:  LAHAT	  -4.612	  101.905	170	       1	1						2			600	3	       1	1						2			600	3
5564		2000	6	10	18	23	 29.3	33	 6.4	 6.4	 6.2	 6.2					TAIWAN		TAIWAN:  NAN-TOU	  23.843	  121.225	30	       2	1			        36	1		1					       2	1			36	1		1				
8209		2000	6	17	15	40	 41.7	10	 6.5	 6.5	 6.6	 5.7					ICELAND		ICELAND:  VESTMANNAEYJAR, HELLA	  63.966	  -20.487	120					         1	1	      20.000	3	11	1	11	1					1	1	      20.000	3	11	1	19	1
5565	Tsu	2000	6	18	14	44	 13.3	10	 7.9	 7.9	 7.8	 6.8					AUSTRALIA		AUSTRALIA:  S, COCOS ISLANDS	 -13.802	   97.453	60																								
5566		2000	6	21	0	51	 46.8	10	 6.5	 6.5	 6.6	 6.1					ICELAND		ICELAND:  GRIMSNES, SELFOSS, EYRARBAKKI, STOKKSEYRI	  63.980	  -20.758	120							      12.000	3	12	1	12	1							      12.000	3	12	1		
5568	Tsu	2000	7	1	7	1	 55.5	10	 6.1	 6.1	 6.1	 6.0					JAPAN		JAPAN:  NEAR S COAST HONSHU:  KOZU-SHIMA	  34.221	  139.131	30	       1	1				3		1					       1	1				3		1				
5569		2000	7	6	19	30	 20.3	33	 5.4	 5.4	 5.1	 5.0					NICARAGUA		NICARAGUA:  MASAYA	  11.884	  -85.988	100	       7	1			        42	1		3	357	3	1130	4	       7	1			42	1		3	357	3	1130	4
5570		2000	7	12	1	10	 42.6	33	 5.4	 5.4	 5.0	 5.2					INDONESIA		INDONESIA: JAWA:BANDUNG,CIBADAK,CIMANDIRI,KADUDAMPIT	  -6.675	  106.845	170					         6	1		2			225	3					6	1		2			225	3
5571	Tsu	2000	7	15	1	30	 30.5	10	 6.1	 6.1	 5.9	 5.5					JAPAN		JAPAN:  NEAR S COAST HONSHU:  NII-JIMA	  34.319	  139.260	30					        10	1		1			20	1					10	1		1			20	1
5572		2000	7	16	3	21	 45.5	33	 6.4	 6.4	 6.3	 6.1					PHILIPPINES		PHILIPPINES:  BASCO, MOUNT IRADA, BATAN ISLANDS	  20.253	  122.043	170					         6	1		2				3					6	1		2				3
7803	Tsu	2000	7	30	12	25	 45.5	10	 6.5	 6.5	 6.5	 6.0					JAPAN		JAPAN:  HONSHU:  S	  33.901	  139.376	30					         1	1		1									1	1		1				
5574		2000	8	4	21	13	  2.7	10	 6.8	 6.8	 7.1	 6.3				6	RUSSIA		RUSSIA:  SAKHALIN ISLAND, UGLEGORSK, MAKAROV	  48.786	  142.246	50					         8	1	        .920	1			1390	4					8	1	        .920	1			1390	4
5575		2000	8	21	13	25	 44.5	33	 4.2		 4.2	 4.9					CHINA		CHINA:  YUNNAN PROVINCE:  WUDING	  25.826	  102.194	30	       1	1			       406	3	      43.000	4					       1	1			406	3	      43.000	4				
5576		2000	9	3	8	36	 30.0	10	 5.0	 5.0	 4.9	 4.9				7	USA	CA	CALIFORNIA:  NAPA	  38.379	 -122.413	150					        41	1	      50.000	4									41	1	      50.000	4				
5577		2000	10	2	2	25	 31.3	34	 6.5	 6.5	 6.7	 6.1					TANZANIA		TANZANIA:  NKANSI, RUKWA	  -7.977	   30.709	10					         6	1		1	7	1	150	3					6	1		1	7	1	150	3
5578		2000	10	6	4	30	 19.1	10	 6.7	 6.7	 6.8	 5.8				9	JAPAN		JAPAN:  HONSHU:  W:  OKAYAMA, TOTTORI	  35.456	  133.134	30					       130	3	     150.000	4	104	3	2230	4					130	3	     150.000	4	104	3	2230	4
5579		2000	10	30	22	39	  6.5	33	 5.1	 5.1	 4.5	 5.2					AFGHANISTAN		AFGHANISTAN-TAJIKISTAN:  RAKHOR	  37.542	   69.582	40								2												2			800	3
5580		2000	11	8	6	59	 58.8	17	 6.5	 6.5	 6.4	 6.0					PANAMA		PANAMA-COLOMBIA:  JURADO	   7.042	  -77.829	100					         2	1		2			86	2					2	1		2			86	2
5581	Tsu	2000	11	16	4	54	 56.7	33	 8.0	 8.0	 8.2	 6.0					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND, DUKE OF YORK	  -3.980	  152.169	170	       2	1						2		3			       2	1						2		3		
5582		2000	11	16	7	42	 16.9	30	 7.8	 7.8	 7.8	 6.2					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW IRELAND, NEW BRITAIN	  -5.233	  153.102	170								1												1				
5583		2000	11	17	21	1	 56.4	33	 7.8	 7.8	 8.0	 6.2					PAPUA NEW GUINEA		PAPUA NEW GUINEA:  NEW BRITAIN	  -5.496	  151.781	170																								
5584		2000	11	25	18	9	 11.4	50	 6.8	 6.8		 5.8					AZERBAIJAN		AZERBAIJAN:  BAKU	  40.245	   49.946	40	      31	1			       430	3		1					      31	1			430	3		1				
5585		2000	12	6	17	11	  6.4	30	 7.0	 7.0	 7.5	 6.7					TURKMENISTAN		TURKMENISTAN:  NEBITDAG-TURKMENBASHI	  39.566	   54.799	40	      11	1				2		1					      11	1				2		1				
5586		2000	12	15	16	44	 47.6	10	 6.0	 6.0	 5.8	 5.1				7	TURKEY		TURKEY:  AFYON-BOLVADIN	  38.457	   31.351	140	       6	1			        41	1		1					       6	1			41	1		1				2
8952		2001	1	1	6	57	  4.1	33	 7.5	 7.5	 7.2	 6.4					PHILIPPINES		PHILIPPINES:  MINDANAO	   6.898	  126.579	170																								
5587	Tsu	2001	1	13	17	33	 32.3	60	 7.7	 7.7	 7.8	 6.4				8	EL SALVADOR		EL SALVADOR:  DAMAGE & INJURIES IN EVERY DEPT.	  13.049	  -88.660	100	     844	3			      4723	4	     753.000	4	108226	4	169632	4	     844	3			4723	4	     753.000	4	108226	4	169632	4
5589		2001	1	26	3	16	 40.5	16	 7.7	 7.7	 8.0	 6.9				10	INDIA		INDIA:  GUJARAT:  BHUJ, AHMADABAD, RAJOKOT; PAKISTAN	  23.419	   70.232	60	   20005	4			    166836	4	    2623.000	4	339000	4	339000	4	   20005	4			166836	4	    2623.000	4	339000	4		
5592		2001	2	13	14	22	  5.8	10	 6.6	 6.6	 6.5	 5.5				6	EL SALVADOR		EL SALVADOR: SAN JUAN TEPEZONTES-SAN VICENTE-COJUTEP	  13.671	  -88.938	100	     315	3			      3399	4	     348.500	4	41302	4	15706	4	     315	3			3399	4	     348.500	4	41302	4	15706	4
5593		2001	2	23	0	9	 23.6	33	 5.6	 5.6	 5.4	 5.7					CHINA		CHINA:  SICHUAN PROVINCE:  KANGDING, YAJIANG	  29.513	  101.129	30	       3	1			       109	3		3	60000	4	60000	4	       3	1			109	3		3	60000	4		
5595		2001	2	28	18	54	 32.8	52	 6.8	 6.8	 6.6	 6.5				8	USA	WA	WASHINGTON:  OLYMPIA, SEATTLE, TACOMA	  47.149	 -122.727	150	       1	1			       400	3	    2000.000	4					       1	1			400	3	    2000.000	4				
5596		2001	3	24	6	27	 53.5	50	 6.8	 6.8	 6.5	 6.4				9	JAPAN		JAPAN:  HIROSHIMA, OKAYAMA, HONSHU, KAGAMA	  34.083	  132.526	30	       2	1			       161	3	     500.000	4			3700	4	       2	1			161	3	     500.000	4			3700	4
5597		2001	5	8	18	2	 16.9	10	 5.7	 5.7	 5.4	 5.2					EL SALVADOR		EL SALVADOR:  CONCHAGUA	  13.605	  -88.795	100	       1	1						2	84	2	70	2	       1	1						2	84	2	70	2
5598		2001	5	23	21	10	 43.9	33	 5.5	 5.5	 5.3	 5.1					CHINA		CHINA:  YUNNAN:  NINGLANG; SICHUAN:  YANYUAN	  27.689	  101.003	30	       2	1			       605	3	      36.000	4					       2	1			605	3	      36.000	4				
5599		2001	6	1	14	0	 43.6	62	 5.0	 5.0	 4.6	 5.0					AFGHANISTAN		AFGHANISTAN:  HINDU KUSH:  PARVAN	  35.169	   69.389	40	       4	1			        20	1		1		2		2	       4	1			20	1				2		
5601	Tsu	2001	6	23	20	33	 14.1	33	 8.4	 8.4	 8.2	 6.7				8	PERU		PERU:  AREQUIPA, MOQUEGUA, TACNA, AYACUCHO	 -16.265	  -73.641	160	      77	2	68	2	      2713	4		4	22399	4			     103	3	138	3	2713	4	     200.000	4	25399	4		
