Ano,Renda per Capita
1976,604.120313809894
1977,656.743987135426
1978,534.855555075767
1979,591.990392890528
1980,
1981,555.984297097336
1982,570.567466426114
1983,482.733373684914
1984,480.908672485212
1985,576.779072376116
1986,843.796372606196
1987,628.803594387837
1988,583.33948144271
1989,669.124289247229
1990,607.356970638774
1991,
1992,527.51336333854
1993,555.823824323379
1994,
1995,689.311328426702
1996,702.809376856009
1997,702.063436024184
1998,709.37793348169
1999,669.782046959182
2000,
2001,680.04880625827
2002,680.007984755814
2003,640.409390254916
2004,654.647866104514
2005,693.969898317385
2006,758.520066270909
2007,778.585902061313
2008,816.603836028413
2009,838.561309530662
2010,
2011,891.361226698402
2012,962.097070938812
2013,1047.9546535695
2014,1152.23721813098
